sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Industrial, LUM_Commercial, LUM_Parkland, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20606113817","2113817","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",99.616805841925,110423.13500249281,11,101544.48924644246,0.0,0.0,8878.645756004466,0.0,0.17382406086667002,50.24499324533766,-0.960459227205535,-0.42842448811520817,-0.8100416304271018,-2.198925345747845
"20601110508","2110508","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",169.57946996372135,123835.74500198988,21,91839.59484552892,4183.4474590836035,27812.702697340002,0.0,0.0,0.4172581159861389,66.40045938528749,0.20999308616556572,-0.1888986384770448,0.3477953207749142,0.36888976846343513
"20606113818","2113818","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",97.7073300669516,92111.8200019688,9,86189.7077289833,0.0,0.0,5922.112273027044,0.0,0.14826234697604723,42.474537844386184,-0.9924041276206038,-0.5436316208506637,-0.9316199234235032,-2.4676556718947706
"20606113819","2113819","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",129.39933475599014,139104.2700021821,18,139104.27000222757,0.0,0.0,0.0,0.0,0.0,44.55940071082934,-0.46220733381245355,-0.5127208105318595,-1.6367949808597173,-2.6117231252040303
"20606113820","2113820","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",109.24389026105946,192230.43000223103,21,172504.47973449668,0.0,0.0,17506.715933602187,2219.234334141016,0.22795873480010465,33.86284817657036,-0.7994012776429148,-0.6713111484257303,-0.5525627588261564,-2.0232751848948016
"20606113821","2113821","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",91.7671134180082,108971.50000184728,10,107506.72674449529,0.0,0.0,125.8289171186043,1338.9443403001642,0.04673359247953291,32.29365845529935,-1.0917819944579426,-0.6945764320130275,-1.4145176162212134,-3.200876042692183
"20606113822","2113822","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",112.54616221341011,88852.43000146013,10,88852.4300013697,0.0,0.0,0.0,0.0,0.0,32.33760813247691,-0.7441553562000068,-0.6939248207456036,-1.6367949808597173,-3.0748751578053275
"20606113823","2113823","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",97.91636158367416,91915.18000093452,9,91915.18000087402,0.0,0.0,0.0,0.0,0.0,49.38123462287739,-0.988907099235729,-0.44123083589464324,-1.6367949808597173,-3.0669329159900895
"20606113824","2113824","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",108.35182441011277,129208.71500058786,14,116484.62982708687,0.0,0.0,484.285422885092,12239.799750586855,0.20979397556250537,34.66703406322984,-0.8143252453337712,-0.6593880441277487,-0.6389591730199672,-2.1126724624814868
"20606113825","2113825","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",172.76633322905562,115763.2950019479,20,107292.42658761259,0.0,0.0,4964.352758219873,3506.5156560599717,0.19348631447267844,48.79431784640916,0.26330825830958643,-0.4499326423502806,-0.7165227357195842,-0.9031471197602784
