sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Commercial, LUM_Industrial, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20604111720","2111720","21117","Carlton","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",229.23849199497482,305358.8400046467,70,206469.2091021124,12843.75635155984,86045.8745511355,0.0,0.5444671228922303,82.15660569361724,0.16243503524398636,-0.5873916752676042,0.4876514183867058,0.06269477836308801
"20604112235","2112235","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",221.30319726722635,284677.31500474765,63,0.0,2270.9886712529697,245499.087846049,0.0,0.037605078377556146,313.920349452175,0.04442643651584987,1.2840758519301834,-1.6695278164338643,-0.34102552798783115
"20604112302","2112302","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",196.22442619004934,254810.2750040582,50,19417.76399532787,18682.4198907322,216710.09111773878,0.0,0.37906536001127245,61.48570516429457,-0.32852891475704443,-0.7543069937346002,-0.2162901218230353,-1.2991260303146799
"20604112303","2112303","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",201.7286207821555,242900.5850038233,49,3332.8679096503183,52096.47343802429,187471.24365624608,0.0,0.4248472012555416,60.707467522663016,-0.24667407341509806,-0.7605911797385755,-0.02144492018922041,-1.0287101733428938
"20604112304","2112304","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",148.6429517818569,242191.10000474367,36,26745.033885219447,468.3745206737658,203946.76005398968,11030.931544817984,0.3901218268407964,52.64618760550156,-1.0361299948649614,-0.825685155819389,-0.1692343580047584,-2.031049508689109
"20604112305","2112305","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",254.14800666714677,192801.04000254642,49,168661.0857667214,6049.089923673368,6004.042609689757,0.0,0.21008605400390296,82.45436834802881,0.5328733141376325,-0.5849872735716944,-0.9354575047003995,-0.9875714641344614
"20604112306","2112306","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",224.67770488338869,222540.9950041585,50,174813.16939232813,24404.68512750906,0.0,0.0,0.2682558490943867,76.39056799628469,0.0946099430954134,-0.6339518150727229,-0.6878897978244386,-1.227231669801748
"20604112307","2112307","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",210.43525823475002,190082.2150030495,40,122405.164144693,29076.450131211554,13339.852294560835,859.6756501432974,0.5476365951919948,76.03504529012906,-0.11719456185748282,-0.6368226230298333,0.5011405322479293,-0.25287665263938675
"20604112308","2112308","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",185.49249113028392,247988.47500350344,46,72955.34447329048,5119.423254267313,148739.47158810016,21174.235687809785,0.6901502025566001,56.92496355885566,-0.488127349534226,-0.7911344960699548,1.107671239791169,-0.1715906058130119
"20604112309","2112309","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",277.90602229744616,280670.42000448506,78,165794.73978227397,7224.383594519983,99001.5638489701,0.0,0.552551833997513,84.186712241656,0.8861872399945857,-0.570998781280855,0.5220595400927572,0.8372479988064879
"20604112310","2112310","21123","North Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",234.2793435572242,273178.16000439494,64,224562.43201905265,9133.844632376298,26779.982824651077,0.0,0.3457229248448886,91.84855683900663,0.23739933709624667,-0.5091302028317806,-0.35819384011810695,-0.6299247058536408
"20604111721","2111721","21117","Carlton","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",130.65565030286686,153074.13000232994,20,125619.3581707376,18433.62834426874,4777.079592202292,0.0,0.36946021022572084,187.740955919608,-1.3036255719370466,0.265190698591827,-0.2571691536798649,-1.2956040270250848
