sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Parkland, LUM_Commercial, LUM_Industrial, LUM_Residential, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"11701132233","1132233","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",184.1284671110349,146636.7500019332,27,16696.282718569506,11222.946374456282,0.0,118717.52090901455,0.0,0.3821764085691925,177.03601676913073,-0.5168687718727674,0.2783265376099523,0.18669660924881193,-0.05184562501400314
"11701132234","1132234","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",153.54391417953332,136768.6900012557,21,8597.293210110045,8013.65410960454,0.0,120157.74268160433,0.0,0.2820360137406933,188.37054621949918,-0.86683068453945,0.377898632564101,-0.33931184362404965,-0.8282438955993987
"11701132235","1132235","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",208.10514492231067,148963.1600005509,31,858.0457806182676,2775.0689248113194,0.0,145330.04529497452,0.0,0.07952708966779377,135.24805333497784,-0.2425170739741732,-0.08877428304835101,-1.403032493287581,-1.7343238503101053
"11701132236","1132236","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",256.805801819263,186911.66500117411,48,0.0,0.0,0.0,186911.66500115834,0.0,0.0,64.41126270472594,0.3147372718373337,-0.7110645751833554,-1.8207652321017134,-2.217092535447735
"11701132237","1132237","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",252.0783261846933,146779.7750009287,37,19082.061551417224,0.0,0.0,127697.71344949811,0.0,0.24008111766132706,49.03374358211632,0.26064341541038183,-0.8461537115202811,-0.5596887456219293,-1.1451990417318285
"11701132238","1132238","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",262.67669068455984,216996.7950009295,57,10110.2447220576,0.0,0.0,206886.55027877804,0.0,0.11703131755824493,54.352356435576056,0.38191456558278564,-0.7994305170208541,-1.2060336605724424,-1.6235496120105108
"11703133624","1133624","11336","Surry Hills","11703","Sydney Inner City","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",376.5638883686676,262903.59500185517,99,13.033625524607487,0.0,0.0,259244.26585030495,3646.2955260876915,0.04575945349320739,136.60336950935428,1.6850619949090373,-0.07686803926480182,-1.5804040933475492,0.02778986229668634
"11701132240","1132240","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",168.43697435596326,166234.28500221515,28,31832.357254798757,12457.818356399866,0.0,120785.45631134583,1158.653079690866,0.48300797164857256,199.93164327374117,-0.6964177366544034,0.47946108901187995,0.7163355685016747,0.4993789208591512
"11701132241","1132241","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",196.9681495181889,137078.0000017551,27,4960.7967742239125,30492.970636717102,0.0,100948.28607768203,675.9465130134195,0.4386414614292048,66.41617070206625,-0.36995147596512473,-0.6934517673151812,0.48329115680522633,-0.5801120864750797
"11701132242","1132242","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",122.29249727963365,188073.6800018751,23,0.0,50537.63158582683,0.0,127867.45067489431,9668.59774118103,0.4771982776078594,64.0852821314617,-1.224423148170594,-0.7139282642969093,0.6858189305429981,-1.2525324819245052
"11701132243","1132243","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",115.62325033681095,181624.370001941,21,0.0,33349.13679302902,0.0,141819.94982800522,6455.283380863722,0.38708162532758533,64.21313421750878,-1.300735606338086,-0.7128051034186645,0.21246229034590652,-1.801078419410844
"11701132244","1132244","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",124.55086069817096,168605.82000224094,21,0.0,7525.492971529427,0.0,143712.22815644403,17368.098874218493,0.3163073090547736,66.82229587300093,-1.1985819601951522,-0.6898840202586625,-0.15929466816771737,-2.047760648621532
"11701132245","1132245","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",141.6417728675018,162381.47500113014,23,0.0,19345.87051882653,0.0,143035.60448232148,0.0,0.22691450574849933,71.43127195843003,-1.0030202226934475,-0.6493948754353783,-0.6288491396238199,-2.2812642377526458
"11701132246","1132246","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",151.19176325757687,171967.04000141378,26,0.0,3842.5288469492225,0.0,162313.76446108674,5810.7466934551485,0.157775905690452,89.7140395280481,-0.8937450303980333,-0.4887835790919325,-0.992014155226286,-2.374542764716252
"11701132247","1132247","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",150.54903461543327,112920.0200016246,17,0.0,19254.910943919473,0.0,76557.36582065548,17107.743236921728,0.5287747544298388,51.64706452151504,-0.9010994143392992,-0.8231960896919648,0.9567352058804857,-0.7675602981507783
"11701132301","1132301","11323","Pagewood - Hillsdale - Daceyville","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",104.18600953343679,124776.83000065247,13,9187.678511352346,0.0,0.0,115520.8728424168,68.27864679882441,0.16623903270437815,34.09462263551648,-1.4316055483033203,-0.9773915874232809,-0.9475598033667215,-3.356556939093323
"11703133702","1133702","11337","Sydney - Haymarket - The Rocks","11703","Sydney Inner City","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",208.49390134514093,278185.59500206565,58,1432.9469846145512,270617.2818778565,0.0,0.0,0.0,0.020433508240576843,594.218179311395,-0.2380687519208858,3.9432075618932427,-1.7134339391225106,1.9917048708498464
"11701132302","1132302","11323","Pagewood - Hillsdale - Daceyville","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",123.59011868478376,161825.23500127014,20,10002.616647791248,0.0,346.8814261919797,143968.4629387039,7507.273988550529,0.2682343941033475,35.50214555055171,-1.209575193064609,-0.9650267154663359,-0.41180774904776096,-2.586409657578706
"11701132303","1132303","11323","Pagewood - Hillsdale - Daceyville","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",167.0422771341474,209527.79500181496,35,27676.15564883442,15614.943200528767,16085.212600155734,150151.48355217595,0.0,0.557178691036659,72.88249597449925,-0.7123764759706437,-0.6366460960387103,1.105932847607781,-0.24308972440157284
"11701132304","1132304","11323","Pagewood - Hillsdale - Daceyville","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",115.93376880314918,181137.90500209774,21,52493.08491998937,0.0,0.0,128644.82008225584,0.0,0.3740244586260524,44.29351780375311,-1.297182517409782,-0.8877958646748563,0.14387678029934775,-2.0411016017852903
"11701132305","1132305","11323","Pagewood - Hillsdale - Daceyville","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",154.64526626421895,181059.53500161227,28,23057.77382194792,2991.7285034670494,0.0,155010.03267619584,0.0,0.28781897084507657,57.77012148533417,-0.85422852936199,-0.769405977620639,-0.3089356470380835,-1.9325701540207125
